h,[1]
he,[2]
li,[3]
be,[4]
b,[5]
c,[6]
n,[7]
o,[8]
f,[9]
ne,[10]
mg,[12]
al,[13]
si,[14]
p,[15]
si,[16]
con,[27, 7]
coo,[27, 8]
cone,[27, 10]
coal,[27, 13]
cop,[27, 15]
coca,[27, 20]
coco,[27, 27]
coy,[27, 39]
coin,[27, 49]
cote,[27, 52]
cola,[27, 57]
coho,[27, 67]
cow,[27, 74]
core,[27, 75]
coos,[27, 76]
coir,[27, 77]
coat,[27, 85]
corn,[27, 86]
coth,[27, 90]
corf,[27, 104]
cods,[27, 110]
cots,[27, 117]
nib,[28, 5]
nine,[28, 10]
nisi,[28, 14]
nip,[28, 15]
nisi,[28, 16]
nice,[28, 58]
nipa,[28, 91]
nits,[28, 117]
cube,[29, 4]
cub,[29, 5]
cup,[29, 15]
curb,[29, 37]
cute,[29, 52]
cure,[29, 75]
cues,[29, 99]
cuds,[29, 110]
cuts,[29, 117]
gab,[31, 5]
gan,[31, 7]
gap,[31, 15]
gaga,[31, 31]
garb,[31, 37]
gay,[31, 39]
gain,[31, 49]
gate,[31, 52]
gala,[31, 57]
gads,[31, 110]
gats,[31, 117]
gen,[32, 7]
gene,[32, 10]
gear,[32, 18]
gees,[32, 99]
gets,[32, 117]
geog,[32, 118]
ash,[33, 1]
asp,[33, 15]
ask,[33, 19]
assn,[33, 50]
sec,[34, 6]
sen,[34, 7]
sene,[34, 10]
seal,[34, 13]
sear,[34, 18]
seas,[34, 33]
secs,[34, 55]
send,[34, 60]
seer,[34, 68]
sew,[34, 74]
sere,[34, 75]
sept,[34, 78]
seat,[34, 85]
seam,[34, 95]
sees,[34, 99]
serf,[34, 104]
sets,[34, 117]
bro,[35, 8]
bras,[35, 33]
brag,[35, 47]
bros,[35, 76]
brat,[35, 85]
sri,[38, 53]
yo,[39, 8]
yin,[39, 49]
yer,[39, 68]
yam,[39, 95]
yes,[39, 99]
mob,[42, 5]
mon,[42, 7]
moo,[42, 8]
mop,[42, 15]
moas,[42, 33]
mote,[42, 52]
moi,[42, 53]
mola,[42, 57]
mow,[42, 74]
more,[42, 75]
moos,[42, 76]
moat,[42, 85]
morn,[42, 86]
mora,[42, 88]
moth,[42, 90]
mono,[42, 102]
mods,[42, 110]
mots,[42, 117]
rube,[44, 4]
rub,[44, 5]
run,[44, 7]
rune,[44, 10]
ruse,[44, 34]
ruin,[44, 49]
ruth,[44, 90]
rues,[44, 99]
ruts,[44, 117]
rho,[45, 8]
rhos,[45, 76]
ago,[47, 8]
agar,[47, 18]
ages,[47, 99]
agog,[47, 118]
inc,[49, 6]
inn,[49, 7]
inf,[49, 9]
incl,[49, 17]
ink,[49, 19]
inti,[49, 22]
inv,[49, 23]
incr,[49, 24]
incs,[49, 55]
snag,[50, 47]
snog,[50, 118]
